# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	OCOGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT
#
295	German	I	42	ɪx	ɪ x	65	7 3	XN	IG	4	4.I.V 4.G.c	1.5 0.8	0	2	ɪ x
296	English	I	42	aɪ	aɪ	65	7	X	A	3	3.A.V	1.5	0	3	aɪ
297	Danish	I	42	jɑj	j ɑ j	65	6 7 6	AXN	JAJ	1	1.J.C 1.A.V 1.J.c	2.0 1.5 0.8	0	1	j ɑ j
298	Swedish	I	42	jaːg	j aː g	65	6 7 1	AXN	JAK	7	7.J.C 7.A.V 7.K.c	2.0 1.5 0.8	0	5	j aː g
299	Icelandic	I	42	jɛɣ	j ɛ ɣ	65	6 7 3	AXN	JEG	5	5.J.C 5.E.V 5.G.c	2.0 1.5 0.8	0	5	j ɛ ɣ
300	Dutch	I	42	ɪk	ɪ k	65	7 1	XN	IK	2	2.I.V 2.K.c	1.5 0.8	0	2	ɪ k
301	Norwegian	I	42	jæj	j æ j	65	6 7 6	AXN	JEJ	6	6.J.C 6.E.V 6.J.c	2.0 1.5 0.8	0	1	j æ j
#
1	German	all	1	al	a l	1	7 5	XN	AL	4	4.A.V 4.L.c	1.5 0.8	0	6	a l
2	English	all	1	ɔːl	ɔː l	1	7 5	XN	UL	3	3.U.V 3.L.c	1.5 0.8	0	6	ɔː l
3	Danish	all	1	æˀl	æˀ l	1	7 5	XN	EL	1	1.E.V 1.L.c	1.5 0.8	0	6	æˀ l
4	Swedish	all	1	alː	a lː	1	7 5	XN	AL	7	7.A.V 7.L.c	1.5 0.8	0	6	a lː
5	Icelandic	all	1	at͡lir	a t͡l i r	1	7 1 7 5	XBYN	ATIR	5	5.A.V 5.T.C 5.I.V 5.R.c	1.5 1.75 1.3 0.8	0	10	a t͡l i r
6	Dutch	all	1	ɑlə	ɑ l ə	1	7 5 7	XBZ	ALE	2	2.A.V 2.L.C 2.E.V	1.5 1.75 0.8	0	7	ɑ l ə
7	Norwegian	all	1	ɑlə	ɑ l ə	1	7 5 7	XBZ	ALE	6	6.A.V 6.L.C 6.E.V	1.5 1.75 0.8	0	7	ɑ l ə
#
8	German	ashes	2	aʃə	a ʃ ə	2	7 3 7	XBZ	ASE	4	4.A.V 4.S.C 4.E.V	1.5 1.75 0.8	0	14	a ʃ ə
9	English	ashes	2	æʃ	æ ʃ	2	7 3	XN	ES	3	3.E.V 3.S.c	1.5 0.8	0	12	æ ʃ
10	Danish	ashes	2	asg	a s g	2	7 3 1	XLN	ASK	1	1.A.V 1.S.c 1.K.c	1.5 1.1 0.8	0	11	a s g -
11	Swedish	ashes	2	asːka	a sː k a	2	7 3 1 7	XMBZ	ASKA	7	7.A.V 7.S.c 7.K.C 7.A.V	1.5 1.1 1.75 0.8	0	11	a sː k a
12	Icelandic	ashes	2	aska	a s k a	2	7 3 1 7	XMBZ	ASKA	5	5.A.V 5.S.c 5.K.C 5.A.V	1.5 1.1 1.75 0.8	0	11	a s k a
13	Dutch	ashes	2	ɑs	ɑ s	2	7 3	XN	AS	2	2.A.V 2.S.c	1.5 0.8	0	12	ɑ s
14	Norwegian	ashes	2	ɑsk	ɑ s k	-2	7 3 1	XLN	ASK	6	6.A.V 6.S.c 6.K.c	1.5 1.1 0.8	0	11	ɑ s k -
#
15	German	bark	3	rɪndə	r ɪ n d ə	5	5 7 4 1 7	AXMBZ	RINTE	4	4.R.C 4.I.V 4.N.c 4.T.C 4.E.V	2.0 1.5 1.1 1.75 0.8	0	18	r ɪ n d ə
16	English	bark	3	bɑːrk	b ɑː r k	-4	1 7 5 1	AXLN	PARK	3	3.P.C 3.A.V 3.R.c 3.K.c	2.0 1.5 1.1 0.8	0	15	b ɑː r k
17	Danish	bark	3	bɑːg	b ɑː g	4	1 7 1	AXN	PAK	1	1.P.C 1.A.V 1.K.c	2.0 1.5 0.8	0	15	b ɑː - g
18	Swedish	bark	3	barːk	b a rː k	4	1 7 5 1	AXLN	PARK	7	7.P.C 7.A.V 7.R.c 7.K.c	2.0 1.5 1.1 0.8	0	15	b a rː k
19	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	4	1 7 5 1 7 5	AXMBYN	PURKYR	5	5.P.C 5.U.V 5.R.c 5.K.C 5.Y.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	19	b œ r k ʏ r
20	Dutch	bark	3	bɑst	b ɑ s t	3	1 7 3 1	AXLN	PAST	2	2.P.C 2.A.V 2.S.c 2.T.c	2.0 1.5 1.1 0.8	0	16	b ɑ s t
21	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-4	1 7 5 1	AXLN	PARK	6	6.P.C 6.A.V 6.R.c 6.K.c	2.0 1.5 1.1 0.8	0	15	b ɑ ɾ k
#
22	German	belly	4	baux	b au x	7	1 7 3	AXN	PAG	4	4.P.C 4.A.V 4.G.c	2.0 1.5 0.8	0	21	b au x
23	English	belly	4	bɛlɪ	b ɛ l ɪ	8	1 7 5 7	AXBZ	PELI	3	3.P.C 3.E.V 3.L.C 3.I.V	2.0 1.5 1.75 0.8	0	22	b ɛ l ɪ
24	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	6	7 4 7 5 7 6	XBYBYN	UNELIW	1	1.U.V 1.N.C 1.E.V 1.L.C 1.I.V 1.W.c	1.5 1.75 1.3 1.75 1.3 0.8	0	20	ɔ n ʌ l i wˀ
25	Swedish	belly	4	maːge	m aː g e	9	4 7 1 7	AXBZ	MAKE	7	7.M.C 7.A.V 7.K.C 7.E.V	2.0 1.5 1.75 0.8	0	25	m aː g e
26	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	10	1 3 7 3 7 5	ACXBYN	KBIDYR	5	5.K.C 5.B.C 5.I.V 5.D.C 5.Y.V 5.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	24	kʰ v ɪː ð ʏ r
27	Dutch	belly	4	bœyk	b œy k	7	1 7 1	AXN	PUK	2	2.P.C 2.U.V 2.K.c	2.0 1.5 0.8	0	21	b œy k
28	Norwegian	belly	4	mɑːgə	m ɑː g ə	9	4 7 1 7	AXBZ	MAKE	6	6.M.C 6.A.V 6.K.C 6.E.V	2.0 1.5 1.75 0.8	0	25	m ɑː g ə
29	Danish	belly	4	mæːvə	m æː v ə	9	4 7 3 7	AXBZ	MEBE	1	1.M.C 1.E.V 1.B.C 1.E.V	2.0 1.5 1.75 0.8	0	27	m æː v ə
30	Swedish	belly	4	buk	b u k	7	1 7 1	AXN	PYK	7	7.P.C 7.Y.V 7.K.c	2.0 1.5 0.8	0	21	b u k
31	Norwegian	belly	4	bʉːk	b ʉː k	7	1 7 1	AXN	PYK	6	6.P.C 6.Y.V 6.K.c	2.0 1.5 0.8	0	21	b ʉː k
#
32	German	big	5	ɡroːs	ɡ r oː s	13	1 5 7 3	ACXN	KRUS	4	4.K.C 4.R.C 4.U.V 4.S.c	2.0 1.5 1.5 0.8	0	29	ɡ r oː s
33	English	big	5	bɪɡ	b ɪ ɡ	12	1 7 1	AXN	PIK	3	3.P.C 3.I.V 3.K.c	2.0 1.5 0.8	0	30	b ɪ ɡ
34	Danish	big	5	sdoˀʁ	s d oˀ ʁ	11	3 1 7 5	ACYN	STUR	1	1.S.C 1.T.C 1.U.V 1.R.c	2.0 1.5 1.3 0.8	0	28	s d oˀ ʁ
