# OUG
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	North Mansi	all	1	pusən	p u s ə n	1
2	Middle Lozva Mansi	all	1	puʃn	p u ʃ n	1
3	Lower Lozva Mansi	all	1	ʃaq	ʃ a q	2
4	Pelymka Mansi	all	1	ʃoq	ʃ o q	2
5	Konda Mansi	all	1	soq	s o q	2
6	Tavda Mansi	all	1	ʃɔχ	ʃ ɔ χ	2
7	Vakh Khanty	all	1	ejnæːm	e j n æː m	3
8	Verkhne-Kalymsk Khanty	all	1	ejnæːm	e j n æː m	3
9	Vartovskoje Khanty	all	1	ejnæːm	e j n æː m	3
10	Likrisovskoje Khanty	all	1	ejnæːm	e j n æː m	3
11	Malyj Jugan Khanty	all	1	ejnæːm	e j n æː m	3
12	Tremjugan Khanty	all	1	ejnæːm	e j n æː m	3
13	Jugan Khanty	all	1	ejnæːm	e j n æː m	3
14	Upper Demjanka Khanty	all	1	χarnaː	χ a r n aː	4
15	Konda Khanty	all	1	pertæː	p e r t æː	5
16	Nizjam Khanty	all	1	isaχaːt	i s a χ aː t	6
17	Sherkaly Khanty	all	1	isaːt	i s aː t	6
18	Kazym Khanty	all	1	isaː	i s aː	6
19	Synja Khanty	all	1	isaː	i s aː	6
# 
20	North Mansi	ashes	2	χuʎəm	χ u ʎ ə m	8
21	Middle Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	8
22	Lower Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	8
23	Konda Mansi	ashes	2	quʎəm	q u ʎ ə m	8
24	Tavda Mansi	ashes	2	qoːʎəm	q oː ʎ ə m	8
25	Vakh Khanty	ashes	2	pæːr	p æː r	9
26	Vasjugan Khanty	ashes	2	pæːr	p æː r	9
27	Tremjugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	9
28	Jugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	9
29	Upper Demjanka Khanty	ashes	2	χoːjəm	χ oː j ə m	8
30	Konda Khanty	ashes	2	χoːjəm	χ oː j ə m	8
31	Nizjam Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	8
32	Sherkaly Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	8
33	Kazym Khanty	ashes	2	raːtχiʃ	r aː t χ i ʃ	7
34	Obdorsk Khanty	ashes	2	ræːtχis	r æː t χ i s	7
# 
35	North Mansi	bark	3	sul	s u l	-10
